variable,variable_short,variable_name,description,table,data_type,statistical_type,allowed_range,allowed_values,normal_range,normal_values,units,category,mapping,worse_direction,variable_level,info,NSCLC,PCa
history_pci,history_pci,History of coronary artery bypass graft,Whether a participant had a prior percutaneous coronary intervention procedure,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of PCI"", ""1.0"": ""History of PCI""}",high,,,,
history_revascularization,history_revasc,History of revascularization (unspecified),"Whether a participant has had a revascularization procedure (PCI, CABG) in the past. Only use this varaible if the revascularization type is not specified.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of revascularization"", ""1.0"": ""History of revascularization""}",high,,,,
history_revascularization_peripheral,history_revascularization_peripheral,History of Peripheral Revascularization,Whether a participant has had peripheral revascularization or angioplasty on a peripheral artery on the arm or leg. This is a result of peripheral vascular disease (PVD),[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Peripheral Revascularization"", ""1.0"": ""History of Peripheral Revascularization""}",high,,,,
history_depression,history_depression,History of Depression,"Whether a participant has a medical history of depression or anxiety. Includes depression, major depression disorder, anxiety.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Depression"", ""1.0"": ""History of Depression""}",high,,,,
history_other_mental_health,history_other_psych,History of Other Mental Health Disorders,"Whether a participant has a medical history of other mental health disorders. Excludes depression, major depression disorder, and anxiety.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Other Mental Health Disorders"", ""1.0"": ""History of Other Mental Health Disorders""}",high,,,,
history_neurological_disorders,history_neurological,History of Neurological Disorders,"Whether a participant has a medical history of any neurological disorders. Includes neurological disorders, spinal cord injury, Alzheimer's disease, amyotrophic lateral sclerosis (ALS), Bell's palsy, cerebral aneurysm, epilepsy, seizures, headache, herniated disk, meningitis, multiple sclerosis, muscular dystrophy, Parkinson's disease, stroke, migraines, encephalitis, myasthenia gravis",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Neurological Disorders"", ""1.0"": ""History of Neurological Disorders""}",high,,,,
history_diabetic_retinopathy,history_diab_retinopathy,History of Diabetic Retinopathy,Whether a participant has a medical history of diabetic retinopathy.,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Diabetic Retinopathy"", ""1.0"": ""History of Diabetic Retinopathy""}",high,,,,
history_hematologic_disorders,history_hematologic,History of Hematologic Disorders,"Whether a participant has a medical history of hematologic disorders. Includes hematologic disorders, anemia, bleeding disorders, hemophilia, blood cancer, leukemia, lymphoma, and myeloma.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Hematologic Disorders"", ""1.0"": ""History of Hematologic Disorders""}",high,,,,
history_other_malignancies,history_other_malignancies,History of Other Malignancies (exclude the index cancer),"Whether a participant has a medical history of malignancies. Includes malignancy, cancer, sarcoma, leukemia, lymphoma, carcinoma, and myeloma. Excludes benign. And exclude the indexing cancer.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Cancer"", ""1.0"": ""History of Cancer""}",high,,,,
history_pvd,history_pvd,History of Peripheral Vascular Disease,Whether a participant has a medical history of peripheral vascular disease (PVD),[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,,
history_renal_disorders,history_renal_disorders,History of Renal Disorders,"Whether a participant has a medical history of renal disorders. Includes renal disorders, chronic kidney disease (CKD), diabetes insipidus (DI), glomerular disease, kidney infection, pyelonephritis, kidney stones, polycystic kidney disease (PKD), and renal artery stenosis.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of ACS"", ""1.0"": ""History of ACS""}",high,,,,
history_herpesvirus_infection,history_hsv_infection,History of herpesvirus infection,"Whether a participant has a medical history of herpesvirus infection. Including HSV: Herpes Simplex Virus (HSV-1 and HSV-2); VZV: Varicella-Zoster Virus; EBV: Epstein-Barr Virus; CMV: Cytomegalovirus; HHV-6: Human Herpesvirus 6; HHV-7: Human Herpesvirus 7; HHV-8: Human Herpesvirus 8 (also known as Kaposi's Sarcoma-associated Herpesvirus, KSHV).",[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,1,
history_hiv,history_hiv,History of HIV/AIDS,Whether a participant has a medical history of HIV/AIDS.,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Sleep Apnea"", ""1.0"": ""History of Sleep Apnea""}",high,,,,
history_smoking,history_smoking,History of Smoking,Whether a participant has a medical history of using tobacco. Also called smoking cigarettes or tabacco smoke.,"[""static"", ""baseline""]",str,categorical,[],"['never_smoker', 'former_smoker', 'current_smoker']",[],[],,lifestyle,,high,,,1,1
smoking_pack_year,smoking_pack_year,History of Smoking Pack Year,"The number of cigarette or tobacco packs smoked per day multiplied by the number of active smoking years. (E.g., if 2 pack were smoked per day for 5 years, patient is a 10 pack-year smoker.)","[""static"", ""baseline""]",float64,continuous,"[0, 300]",[],[],[],,lifestyle,,,,https://www.mdcalc.com/calc/10187/pack-years-calculator,1,1
year_smoked,year_smoked,History of Smoking Years,"How many years have smoked? If current smokers, the year smoked is calcualted as the year since starting to smoke till the baseline day.","[""static"", ""baseline""]",float64,continuous,"[0, 50]",[],[],[],,lifestyle,,,,,,
history_alcohol,history_alcohol,History of alcohol consumption,Whether a participant drinks alcohol.,[],int,binary,[],"[0, 1]",[],[0],,lifestyle,,high,,,1,
history_prostate_intraepithelial_neoplasia,history_prostate_intraepithelial_neoplasia,History of Prostate Intraepithelial Neoplasia (PIN),Whether a participant has a medical history of prostate intraepithelial neoplasia (PIN) when the prostate cells don't look normal but don't look like they are invading other parts of the prostate.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,,1
history_proliferative_inflammatory_atrophy,history_proliferative_inflammatory_atrophy,History of Proliferative Inflammatory Atrophy (PIA),Whether a participant has a medical history of proliferative inflammatory atrophy (PIA) when the prostate cells look smaller than normal and there are signs of inflammation in the area.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,,1
history_malignancies,history_malignancies,History of Malignancies,"Whether a participant has a medical history of malignancies. Includes malignancy, cancer, sarcoma, leukemia, lymphoma, carcinoma, and myeloma. Excludes benign.","[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Cancer"", ""1.0"": ""History of Cancer""}",high,,,1,
family_history_lung_cancer,family_history_lung_cancer,Family history of lung cancer,Whether a participat has any family history of lung cancer.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,1,
family_history_cancer,family_history_cancer,"Family history of cancer (in general, unspecified)",Whether a participat has any family history of any type of cancer.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,1,1
family_history_prostate_cancer,family_history_prostate_cancer,Family history of prostate cancer,Whether a participat has any family history of any type of cancer.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,high,,,,1
tnm_stage,tnm_stage,TNM Stage,"What is the patient's TNM stage for the index /current cancer? Stage ranges from I to IV, from less severe to the most severe.","[""longitudinal"", ""baseline""]",str,ordinal,[],"[""i"", ""ia"", ""ib"", ""ic"", ""ii"", ""iia"", ""iib"", ""iic"", ""iii"", ""iiia"", ""iiib"", ""iiic"", ""iv"", ""i-iii"", ""other""]",[],[],,disease history,,high,,,1,1
tumor_stage,tumor_stage,T Stage for TNM stage,"What is the patient's Tumor stage for the index cancer? Stage ranges from X, 0-4.","[""longitudinal"", ""baseline""]",str,ordinal,[],"[""tx"", ""t0"", ""t1"", ""t2"", ""t3"", ""t4"", ""unknown"", ""not applicable""]",[],[],,disease history,,,,,1,1
node_stage,node_stage,N Stage for TNM stage,"What is the patient's Node stage for the index cancer? Stage ranges from X, 0-4.","[""longitudinal"", ""baseline""]",str,ordinal,[],"[""nx"", ""n0"", ""n1"", ""n2"", ""n3"", ""n4"", ""unknown"", ""not applicable""]",[],[],,disease history,,,,,1,1
metastasis_stage,metastasis_stage,M Stage for TNM stage,What is the patient's Metastasis stage for the index cancer? Stage ranges 0-1.,"[""longitudinal"", ""baseline""]",int,binary,"[0, 1]",[],[],[0],,disease history,,,,,1,1
month_since_mets,month_since_metastasis,Months Since Metastasis,How many months have passed since the metastasis till baseline day? (Baseline day is defined as either randomization day for RCTs or study entry for osbervational studies).,"[""static"", ""baseline""]",float64,continuous,"[0, 360]",[],[],[],,disease history,,,,,,
nsclc_histological_finding,nsclc_histological_finding,NSCLC Histological Finding,"NSCLC histological findings include: adenocarcinoma, squamous cell carcinoma, large cell carcinoma and others. Alternatively, this could be categorized as squamous cell versus non-squmous cell carcinomas.","[""static"", ""baseline""]",str,categorical,[],"[""adenocarcinoma"", ""squmaous cell carcinoma"", ""large cell carcinoma"", ""non-squmaous cell carcinoma"", ""others""]",[],[],,disease history,,,,,1,
prostate_histological_finding,prostate_histological_finding,Prostate Histological Finding,"Prostate histological findings include: adenocarcinoma, Small cell neuroendocrine carcinoma, Large cell neuroendocrine carcinoma, Urothelial (transitional cell) carcinoma",[],str,categorical,[],"[""adenocarcinoma"", ""small cell neuroendocrine carcinoma"", ""large cell neuroendocrine carcinoma"", ""Urothelial carcinoma"", ""others""]",[],[],,disease history,,,,,,1
current_brain_mets,current_brain_mets,Brain Metastasis,Whether a participant has brain metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Brain Metastasis"", ""1.0"": ""Had Brain Metastasis""}",high,,,1,
current_liver_mets,current_liver_mets,Liver Metastasis,Whether a participant has liver metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Liver Metastasis"", ""1.0"": ""Had Liver Metastasis""}",high,,,1,1
current_lung_mets,current_lung_mets,Lung Metastasis,Whether a participant has lung metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Bone Metastasis"", ""1.0"": ""Had Bone Metastasis""}",high,,,1,1
current_bone_mets,current_bone_mets,Bone Metastasis,Whether a participant has bone metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Bone Metastasis"", ""1.0"": ""Had Bone Metastasis""}",high,,,1,1
current_distant_lymph_mets,current_distant_lymph_mets,Distant Lymph Node Metastasis,Whether a participant has distant lymph node metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Bone Metastasis"", ""1.0"": ""Had Bone Metastasis""}",high,,,1,1
current_gonads_breast_mets,current_gonads_breast_mets,Gondas and Breast Metastasis,Whether a participant has gondas and breast metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Brain Metastasis"", ""1.0"": ""Had Brain Metastasis""}",high,,,1,1
current_adrenal_glads_mets,current_adrenal_glads_mets,Adrenal Gland Metastasis,Whether a participant has adrenal gland metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Liver Metastasis"", ""1.0"": ""Had Liver Metastasis""}",high,,,1,1
current_pleura_mets,current_pleura_mets,Pleura Metastasis,Whether a participant has pleura metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,1,
current_pancreas_mets,current_pancreas_mets,Pancreas Metastasis,Whether a participant has pancreas metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,,
current_kidney_mets,current_kidney_mets,Kidney Metastasis,Whether a participant has kidney metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,,
current_skin_softtissue_mets,current_skin_softtissue_mets,Skin and Soft Tissue Metastasis,Whether a participant has skin and soft tissue metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,1,
current_peritoneum_mets,current_peritoneum_mets,Peritoneum Metastasis,Whether a participant has peritoneum metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,,
current_gi_tract_mets,current_gi_tract_mets,Gastrointestinal Tract Metastasis,Whether a participant has gastrointestical tract metastasis from the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,,,,,,
prior_chemotherapy,prior_chemotherapy,Prior Chemotherapy,Whether a participant had any prior chemotherapy to treat the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Chemotherapy"", ""1.0"": ""Had Prior Chemotherapy""}",,,,1,1
prior_immunotherapy,prior_immunotherapy,Prior Immunotherapy,Whether a participant had any prior immunotherapy to treat the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Immunotherapy"", ""1.0"": ""Had Prior Immunotherapy""}",,,,1,1
prior_targeted_therapy,prior_targeted_therapy,Prior Targeted Therapy,Whether a participant had any prior targeted therapy to treat the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Targeted Therapy"", ""1.0"": ""Had Prior Targeted Therapy""}",,,,1,1
prior_radiotherapy,prior_radiotherapy,Prior Radiotherapy,Whether a participant had any prior radiotherapy to treat the index cancer.,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Radiotherapy"", ""1.0"": ""Had Prior Radiotherapy""}",,,,1,1
prior_radiopharmacetical,prior_radiopharmaceutical,Prior Radiopharmaceutical,Whether a participant had any prior radiopharmaceutical to treat the index cancer.,[],int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Radiotherapy"", ""1.0"": ""Had Prior Radiotherapy""}",,,,1,1
prior_systemic_therapy,prior_systemic_therapy,Prior Systemic Therapy (unspecified),"Whether a participant had any prior systemic therapy, including chemotherapy, immunotherapy, targeted therapy, radiation therapy. Only use this variable if the systemic therapy is unspecified.",[],int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Systemic Therapy"", ""1.0"": ""Had Prior Systemic Therapy""}",,,,1,1
prior_adjuvant_therapy,prior_ajuvant_therapy,Prior Ajuvant Therapy,Whether a participant had any prior ajuvant therapy to treat the index cancer.,[],int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Adjuvant Therapy"", ""1.0"": ""Had Prior Adjuvant Therapy""}",,,,1,1
prior_neoadjuvant_therapy,prior_neoajuvant_therapy,Prior Neoadjuvant Therapy,Whether a participant had any prior neoajuvant therapy to treat the index cancer.,[],int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Neoadjuvant Therapy"", ""1.0"": ""Had Prior Neoadjuvant Therapy""}",,,,1,1
prior_surgical_resection,prior_surgical_resection,Had surgical resction to remove the index cancer,Whether a participant had any prior surgical resection to remove the index cancer.,[],int,binary,[],"[0, 1]",[],[0],,disease history,"{""0.0"": ""No Prior Surgical Resection"", ""1.0"": ""Had Prior Surgical Resection""}",high,,,1,1
ecog,ecog,ECOG Performance-status Score,"The ECOG Performance Status Scale is one such measurement. It describes a patient’s level of functioning in terms of their ability to care for themself, daily activity, and physical ability (walking, working, etc.)","[""longitudinal"", ""baseline""]",int,continuous,"[0, 5]",[],[],[0],,disease history,,high,,,1,1
pdl1_tc_expression_category,pdl1_tc_expression_category,Categories of PD-L1 Expression on Tumor Cells ,"What PD-L1 expression on tumor cells categories does a participant belong to? Categories are: high (TPS ≥50%, or CPS ≥10), low (TPS = 0-1%, or CPS = 0-1), positive (TPS = 1%-49%, or CPS = 1-9), negative. ","[""longitudinal"", ""baseline""]",str,categorical,[],"[""high"", ""low"", ""positive"", ""negative""]",[],[],,biomarkers,,,,,1,
pdl1_test_type,pdl1_test_type,PD-L1 Antibody Test Type,"What PD-L1 antibody test type did the participant used? Test types including but not limited to: 22C3, 28-2, E1L3N, SP142, and others.","[""longitudinal"", ""baseline""]",str,categorical,[],"[""22c3"", ""28-2"", ""e1l3n"", ""sp142"", ""other"", ""unknown""]",[],[],,metadata,,,,,1,
site_primary_diagnosis,site_primary_diagnosis,Site of Primary Diagnosis,The site of the primary tumor location from diagnosis.,"[""static"", ""baseline""]",str,categorical,[],[],[],[],,disease history,,,,,,
month_since_primary_diagnosis,month_since_primary_diagnosis,Month Since Primary Diagnosis,How many months have passed since the primary cancer diagnosis till baseline day? (Baseline day is defined as either randomization day for RCTs or study entry for osbervational studies).,"[""static"", ""baseline""]",float64,continuous,"[0, 360]",[],[],[],,disease history,,,,,,
cancer_diagnosis_source,cancer_diagnosis_source,Source of Cancer Diagnosis,"How was cancer diagnosed? Sources including but not limited to: pathology, imaging, physical exame, and others.",[],str,categorical,[],[],[],[],,metadata,,,,,1,1
genetic_panel_specimen,genetic_panel_specimen,Specimen Sample Type for Genetic Panel,"What is the specimen sample type used for next generation sequencying test? Specimen sample types include but not limited to: primary tumor, lymph node metastasis, distant organ metastasis, local recurrents, metastasis site unspecified, others.","[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,metadata,,,,,,1
had_death,had_death,Had Death (as an event),"Whether the participant died, including all-causes.","[""events""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,,1,1
death_censor,death_censor,Censoring of Death,"The censoring flag; 1 if censored (until the event occurs) and 0 after. For single/terminal events, this variable is a flag for whether the event occurred up to a visit.","[""outcomes""]",int,binary,[],"[0, 1]",[],[],,adverse events,,,,,,1
death_recorded,death_recorded ,Death Recorded,Whether the participant died recorded.,"[""outcomes""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,Matches had_death in events/death_events,,1
death_time,death_time,Time to Death,"The time to death. If the event has not occurred by the visit, the time is the study day (i.e. censored). Once the event has occurred, the time is the event time.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,,,1
death_time_static,death_time_static,Time to Death (Static),"The time to death, independent of the study day.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,,,1
had_pfs,had_pfs,Had Progression or Death (as an event),Whether the participant had progression or died (including all-causes).,"[""events""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,,1,1
pfs_censor,pfs_censor,Censoring of Progression or Death,"The censoring flag; 1 if censored (until the event occurs) and 0 after. For single/terminal events, this variable is a flag for whether the event occurred up to a visit.","[""outcomes""]",int,binary,[],"[0, 1]",[],[],,adverse events,,,,,,1
pfs_recorded,pfs_recorded ,Progression or Death Recorded,Whether the participant had progression or died recorded.,"[""outcomes""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,Matches had_pfs in events/pfs_events,,1
pfs_time,pfs_time,Time to Progression or Death,"The time to progression or death. If the event has not occurred by the visit, the time is the study day (i.e. censored). Once the event has occurred, the time is the event time.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,,,1
pfs_time_static,pfs_time_static,Time to Progression or Death (Static),"The time to progression or death, whichever comes first, independent of the study day.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,,,1
had_next_treatment,had_next_treatment,Had Next Treatment for Index Cancer,Whether the participant started next treamtment for the index cancer.,"[""events""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,,1,1
next_treatment_censor,next_treatment_censor,Censoring of Next Treatment for Index Cancer,"The censoring flag; 1 if censored (until the event occurs) and 0 after. For single/terminal events, this variable is a flag for whether the event occurred up to a visit.","[""outcomes""]",int,binary,[],"[0, 1]",[],[],,adverse events,,,,,,1
next_treatment_recorded,next_treatment_recorded,Next Treatment Recorded,Whether starting on next treatment is recorded.,"[""outcomes""]",int,binary,[],"[0, 1]",[],[0],,adverse events,,,,,,1
next_treatment_time,next_treatment_time,Time to Next Treatment for Index Cancer,"The time to next treatment for index cancer. If the event has not occurred by the visit, the time is the study day (i.e. censored). Once the event has occurred, the time is the event time.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,Matches had_next_treatment in events/next_treatment_events,,1
next_treatment_time_static,next_treatment_time_static,Time to Next Treatment for Index Cancer (Static),"The time to next treatment for index cancer, independent of the study day.","[""outcomes""]",int,continuous,"[None, None]",[],[],[],,adverse events,,,,,,1
taking_paclitaxel,taking_paclitaxel,Taking paclitaxel,"Chemo: paclitaxel, Abraxane, Taxol, Nabpaclitaxel, Paclitaxel Poliglumex","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_carboplatin,taking_carboplatin,Taking carboplatin,"Chemotherapy: carboplatin, Paraplatin","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,1
taking_pemetrexed,taking_pemetrexed,Taking pemetrexed,"Chemotherapy: pemetrexed, Alimta, Ciambra, Pemfexy, Pemrydi Rtu","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_cisplatin,taking_cisplatin,Taking cisplatin,"Chemotherapy: cisplatin, Platinol","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_gemcitabine,taking_gemcitabine,Taking gemcitabine,"Chemotherapy: gemcitabine, Gemzar","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_pembrolizumab,taking_pembrolizumab,Taking pembrolizumab,"Immunotherapy PD-1 blocking antibody: pembrolizumab, Keytruda","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,1
taking_cemiplimab,taking_cemiplimab,Taking cemiplimab,"Immunotherapy PD-1 blocking antibody: cemiplimab, Libtayo","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_nivolumab,taking_nivolumab,Taking nivolumab,"Immunotherapy PD-1 blocking antibody: nivolumab, Opdivo, Opdualag","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_ipilimumab,taking_ipilimumab,Taking ipilimumab,"Immunotherapy CTLA-4 blocking antibody: ipilimumab, Yervoy","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_tremelimumab,taking_tremelimumab,Taking tremelimumab,"Immunotherapy CTLA-4 blocking antibody: tremelimumab, Imjudo","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_durvalumab,taking_durvalumab,Taking durvalumab,"Immunotherapy PD-1 blocking antibody: durvalumab, Imfinzi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_atezolizumab,taking_atezolizumab,Taking atezolizumab,"Immunotherapy preventing interaction of PD-L1 & PD-1: atezolizumab, Tecentriq","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_bevacizumab,taking_bevacizumab,Taking bevacizumab,"Targeted therapy VEGF inhibitor: bevacizumab, Avastin, Mvasi","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_ramucirumab,taking_ramucirumab,Taking ramucirumab,"Targeted therapy VEGF inhibitor: ramucirumab, Cyramza","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_sotorasib,taking_sotorasib,Taking sotorasib,"Targeted therapy KRAS inhibitor (if KRAS G12C mutation is present): sotorasib, Lumakras","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_adagrasib,taking_adagrasib,Taking adagrasib,"Targeted therapy KRAS inhibitor (if KRAS G12C mutation is present): adagrasib, Krazati","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_osimertinib,taking_osimertinib,Taking osimertinib,"Targeted therapy EGFR inhibitor/3rd gen TKI  (if mutations are around exon 19 or 21 or specifically S768I, L861Q, G719X and/or T790M mutation): osimertinib, Tagrisso","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_afatinib,taking_afatinib,Taking afatinib,"Targeted therapy EGFR inhibitor/2nd gen TKI  (if mutations are around exon 19 or 21 or specifically S768I, L861Q and/or G719X mutation): afatinib, Gilotrif","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_erlotinib,taking_erlotinib,Taking erlotinib,"Targeted therapy EGFR inhibitor/1st gen TKI (if mutations are around exon 19 or 21 or specifically S768I, L861Q and/or G719X mutation): erlotinib, Tarceva","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_dacomitinib,taking_dacomitinib,Taking dacomitinib,"Targeted therapy EGFR inhibitor/2nd gen TKI (if mutations include exon 19 deletion or exon 21 L858R substitution): dacomitinib, Vizimpro","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_gefitinib,taking_gefitinib,Taking gefitinib,"Targeted therapy EGFR inhibitor/1st gen TKI (if mutation on exon 19 or 21 are S768I, L861Q, and/or G719X mutations): gefitinib, Iressa","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_amivantamab,taking_amivantamab,Taking amivantamab,"Targeted therapy EGFR inhibitor/1st gen TKI (if mutation exon 20 insertion): amivantamab, Rybrevant","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_lorlatinib,taking_lorlatinib,Taking lorlatinib,"Targeted therapy ALK inhibitor/ROS1 inhibitor: lorlatinib, Lorbrena","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_alectinib,taking_alectinib,Taking alectinib,"Targeted therapy ALK inhibitor (targeting ALK-ELM4 fusion): alectinib, Alecensa","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_brigatinib,taking_brigatinib,Taking brigatinib,"Targeted therapy ALK inhibitor (targeting dual inhibition of ALK & EGFR, ELM4-ALK fusion): brigatinib, Alunbrig","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_ceritinib,taking_ceritinib,Taking ceritinib,"Targeted therapy ALK inhibitor/ROS1 inhibitor (targeting ROS1 rearrangement, ELM4 and ALK fusion): ceritinib, Zykadia","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_crizotinib,taking_crizotinib,Taking crizotinib,"Targeted therapy ALK inhibitor/ROS1 inhibitor (targeting ROS1 rearrangement, ELM4 and ALK fusion): crizotinib, Xalkori","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_entrectinib,taking_entrectinib,Taking entrectinib,"Targeted therapy ROS1 inhibitor: entrectinib, Rozlytrek","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_repotrectinib,taking_repotrectinib,Taking repotrectinib,"Targeted therapy ROS1 inhibitor: repotrectinib, Augtyro","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
taking_dabrafenib,taking_dabrafenib,Taking dabrafenib,"Targeted therapy BRAF inhibitor (targeting BRAF V600E mutation): dabrafenib, Tafinlar","[""longitudinal"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,medications,,,,,1,
